1	0	2.75	3.4	2.75	0	0	0	1	0	1
3	3	3.2	3.2	2.5	0	0	0	0	0	2
1	4	1.91	3.75	4.33	0	1	-1	3	2	1
4	2	4.33	3.6	1.95	0	0	0	0	1	3
1	2	2.25	3.5	3.4	1	0	1	2	0	1
0	4	2.3	3.25	3.5	0	1	-1	0	1	3
4	1	1.7	4	5.5	2	0	2	2	0	1
2	2	2.45	3.5	3	0	0	0	2	0	1
3	2	1.29	6.5	11	1	2	-1	1	2	3
2	3	2.5	3.3	3.1	0	2	-2	1	2	3
3	2	2.5	3.4	3	2	0	2	2	2	2
1	3	2.3	3.4	3.4	0	0	0	0	0	2
0	0	1.67	4	5.75	0	0	0	1	1	2
2	3	3.1	3.3	2.5	1	1	0	2	3	3
4	2	2	3.6	4	0	0	0	1	0	1
2	1	4.5	4	1.8	1	2	-1	2	5	3
2	1	1.53	4.33	7	1	0	1	3	2	1
3	0	1.2	7.5	16	1	0	1	3	0	1
0	3	6	4.2	1.62	1	0	1	2	2	2
2	2	2.05	3.4	4.2	1	0	1	3	1	1
2	5	2.55	3.3	3	1	0	1	2	1	1
4	5	4.2	3.8	1.91	1	1	0	4	1	1
6	1	2.25	3.5	3.4	1	1	0	2	2	2
4	3	2.5	3.3	3.1	0	0	0	0	1	3
3	3	3.1	3.3	2.5	1	0	1	2	3	3
2	3	2.5	3.3	3.1	0	0	0	0	1	3
0	0	2.1	3.5	3.8	1	1	0	1	1	2
0	5	1.83	3.7	4.8	1	1	0	1	3	3
5	1	1.83	3.6	5	0	0	0	2	0	1
3	1	1.25	7	13	1	1	0	6	1	1
3	3	2.3	3.5	3.3	0	1	-1	1	2	3
1	2	3.2	3.4	2.4	2	1	1	2	2	2
2	2	2	3.8	3.8	3	0	3	3	0	1
2	8	2.7	3.4	2.8	1	1	0	1	1	2
2	4	2.75	3.25	2.8	2	1	1	2	2	2
3	0	1.33	5.75	10	1	0	1	2	0	1
1	4	2	3.6	4	1	1	0	1	3	3
3	1	3.25	3.4	2.38	0	2	-2	0	3	3
1	5	1.33	5.75	10	4	1	3	5	1	1
6	4	1.75	4	5	2	0	2	2	2	2
6	4	2.5	3.5	3	0	0	0	0	0	2
1	3	6	4.2	1.62	0	0	0	0	3	3
0	3	2.05	3.4	4.2	0	0	0	1	0	1
0	1	2.6	3.4	2.88	3	2	1	6	2	1
1	0	2.05	3.4	4.2	0	1	-1	0	1	3
4	3	1.44	4.75	8	2	1	1	2	1	1
2	3	3	3.3	2.6	0	0	0	1	2	3
1	0	2.2	3.6	3.4	0	0	0	1	0	1
5	2	2	3.5	4.2	0	0	0	0	1	3
7	1	2.1	3.3	4	0	1	-1	0	2	3
3	3	4	3.8	1.95	1	0	1	2	1	1
1	2	3.4	3.5	2.25	1	3	-2	1	5	3
2	3	2.05	3.6	3.8	0	0	0	1	1	2
1	3	2.6	3.5	2.8	0	0	0	0	0	2
0	6	2.6	3.4	2.9	1	0	1	3	0	1
0	2	2.1	3.5	3.75	1	1	0	1	3	3
4	2	3.8	3.5	2.1	0	0	0	0	0	2
6	2	1.29	6	12	0	0	0	2	1	1
3	2	2.4	3.4	3.2	0	0	0	0	0	2
2	0	5	4	1.75	0	0	0	0	3	3
6	0	2.6	3.4	2.9	1	0	1	2	0	1
4	2	2.9	3.4	2.6	1	0	1	2	3	3
3	0	1.5	4.5	7.5	2	1	1	6	2	1
4	0	1.55	4.33	6.5	2	0	2	2	0	1
2	0	1.44	4.75	8	2	0	2	3	1	1
9	0	2.25	3.5	3.4	0	1	-1	0	1	3
0	2	1.85	3.8	4.5	0	0	0	2	1	1
2	1	1.33	5.25	12	0	0	0	2	0	1
2	1	2.45	3.4	3.1	0	0	0	1	0	1
1	6	3.8	3.6	2.05	0	0	0	1	0	1
1	1	4.75	3.8	1.8	0	0	0	0	1	3
0	3	2.6	3.5	2.8	1	1	0	1	1	2
2	1	1.73	4	5	0	1	-1	1	1	2
0	3	7.5	5	1.44	0	0	0	0	0	2
7	3	1.67	3.8	6	1	1	0	1	2	3
4	3	1.4	5	9	0	0	0	1	0	1
1	2	1.57	4.2	6.5	3	0	3	4	0	1
5	1	1.7	4	5.5	1	3	-2	1	4	3
2	4	2.88	3.6	2.5	0	1	-1	0	3	3
2	3	1.57	4	7	0	1	-1	0	1	3
2	2	1.91	3.6	4.5	2	2	0	2	2	2
1	4	4.33	3.4	2	0	1	-1	1	2	3
0	2	7	4.33	1.53	2	1	1	2	1	1
4	4	1.57	4.2	6.5	2	0	2	4	1	1
4	1	1.57	4	7	0	0	0	0	1	3
7	2	2.75	3.3	2.8	1	1	0	2	3	3
3	5	2.9	3.6	2.5	0	2	-2	3	3	2
2	1	1.7	3.9	5.5	3	1	2	5	1	1
1	5	3.1	3.5	2.4	1	1	0	1	1	2
5	2	1.6	4.33	6	2	0	2	3	1	1
4	4	3.2	3.3	2.45	0	0	0	2	0	1
4	1	1.44	4.75	8	0	0	0	1	0	1
0	3	6	4.2	1.62	1	1	0	1	1	2
3	2	2.6	3.4	2.9	0	0	0	0	0	2
2	0	2.05	3.5	4	1	0	1	1	1	2
0	1	1.29	6	13	1	1	0	3	1	1
3	2	1.36	5.25	9.5	0	0	0	0	1	3
3	2	1.44	4.5	9	0	0	0	0	0	2
5	1	1.5	4.5	7.5	0	1	-1	1	1	2
1	3	5.25	4	1.7	2	0	2	2	0	1
1	3	2.7	3.4	2.75	0	2	-2	0	3	3
2	0	2.15	3.5	3.6	1	0	1	2	0	1
1	1	4.75	3.6	1.85	1	1	0	1	1	2
1	5	5.75	4.33	1.62	0	0	0	2	0	1
4	2	2.1	3.6	3.75	0	0	0	1	1	2
3	3	3.4	3.4	2.3	1	1	0	2	1	1
6	2	2.6	3.3	3	1	0	1	1	0	1
1	2	1.3	6	11	1	0	1	2	1	1
2	2	2.9	3.5	2.55	0	1	-1	1	1	2
3	1	2.9	3.3	2.63	0	1	-1	0	1	3
4	3	2.63	3.3	2.9	0	0	0	0	0	2
1	1	6.5	4.2	1.57	0	2	-2	0	2	3
1	2	1.4	4.75	10	1	1	0	2	2	2
4	0	1.36	5.5	9	1	0	1	1	2	3
0	5	3.2	3.5	2.35	1	0	1	2	1	1
2	1	1.33	5.25	12	2	0	2	3	1	1
4	2	2.1	3.75	3.6	1	1	0	2	3	3
6	0	1.45	4.5	8.5	0	1	-1	1	2	3
2	1	2.05	3.5	4	1	0	1	1	1	2
3	2	2.7	3.4	2.8	0	2	-2	0	2	3
2	1	2.5	3.2	3.2	0	1	-1	1	2	3
0	2	2.55	3.3	3	0	0	0	1	2	3
4	4	2.1	3.4	3.9	0	0	0	0	0	2
4	4	4.2	3.6	1.95	2	0	2	3	0	1
1	4	2.45	3.5	3	2	0	2	2	1	1
5	4	2.63	3.25	2.75	0	1	-1	1	1	2
1	5	2.4	3.3	3	0	0	0	0	0	2
7	3	1.44	4.5	7.5	1	1	0	2	2	2
5	2	1.91	3.8	3.8	0	0	0	1	0	1
1	0	1.2	7	13	3	0	3	4	1	1
0	1	3.2	3.5	2.2	0	0	0	0	1	3
0	4	3.6	3.5	2.05	1	0	1	4	0	1
1	7	3.25	3.2	2.3	2	0	2	2	0	1
0	5	1.91	3.4	4.5	1	0	1	1	0	1
7	3	1.4	4.75	8	2	0	2	3	0	1
7	1	1.44	4.75	8	1	0	1	2	0	1
2	1	2.1	3.4	4	0	0	0	0	0	2
3	1	1.95	3.6	4.2	1	2	-1	3	4	3
3	2	2.6	3.3	3	0	0	0	0	0	2
1	3	2.05	3.6	3.8	1	0	1	2	0	1
1	3	3.75	3.5	2.1	1	1	0	1	2	3
10	2	2.2	3.25	3.75	0	0	0	1	0	1
1	3	3.6	3.4	2.2	0	1	-1	2	1	1
1	6	4.33	4	1.85	0	0	0	0	0	2
2	4	5.5	3.9	1.7	0	0	0	0	1	3
4	3	1.29	6.5	11	0	0	0	1	0	1
0	0	1.91	3.75	4.33	0	0	0	0	0	2
1	0	1.55	4.2	7	0	0	0	2	1	1
1	6	3.2	3.4	2.4	0	0	0	1	0	1
1	2	2.5	3.25	3.2	1	0	1	3	1	1
2	0	5	4	1.75	0	0	0	1	2	3
2	5	2.8	3.2	2.8	0	0	0	2	1	1
2	3	4	3.5	2.05	1	0	1	2	0	1
4	3	3.8	3.5	2.1	0	1	-1	0	3	3
0	4	2.8	3.5	2.63	1	1	0	1	1	2
4	0	3.2	3.25	2.45	0	0	0	1	0	1
1	3	2	3.6	4	1	0	1	1	3	3
1	3	5	3.7	1.8	1	2	-1	3	3	2
3	2	1.44	4.5	9	1	1	0	2	2	2
2	3	2.88	3.4	2.6	2	2	0	3	3	2
3	3	1.53	4.75	6	0	0	0	0	0	2
3	1	1.95	3.5	4.33	1	0	1	2	0	1
2	3	2.05	3.3	4.2	0	0	0	3	1	1
5	3	1.8	3.6	5.25	2	1	1	2	4	3
7	2	1.75	3.8	5.25	0	0	0	0	1	3
1	1	3.6	3.4	2.2	0	1	-1	1	1	2
2	0	1.91	3.6	4.5	1	0	1	3	0	1
2	3	1.83	3.75	4.75	0	0	0	3	3	2
4	4	1.4	5.25	8.5	2	0	2	4	0	1
1	2	2.5	3.4	3	2	0	2	2	1	1
1	0	1.73	3.75	5.5	2	0	2	3	0	1
6	2	1.36	5.25	9.5	1	1	0	4	1	1
0	2	2.3	3.25	3.5	0	0	0	0	1	3
0	2	4.33	3.6	1.95	0	0	0	0	0	2
4	1	2.38	3.25	3.4	1	0	1	1	0	1
1	5	3.6	3.5	2.15	1	0	1	1	3	3
6	2	2.1	3.5	3.8	1	0	1	3	0	1
0	1	1.91	3.5	4.75	0	0	0	0	1	3
3	1	4.33	3.5	1.95	2	1	1	4	5	3
2	1	3	3.4	2.5	1	1	0	1	1	2
1	2	2.05	3.5	4	0	0	0	2	1	1
1	3	2.1	3.3	4	0	0	0	0	0	2
2	2	5	4	1.73	1	1	0	2	2	2
2	2	2.1	3.5	3.9	0	1	-1	0	1	3
2	1	1.73	3.8	5.5	1	2	-1	1	2	3
2	3	1.75	3.75	5.25	0	0	0	0	0	2
2	2	2.45	3.3	3.2	1	1	0	1	2	3
3	8	2.63	3.4	2.88	0	0	0	2	0	1
2	3	1.7	3.75	5.75	2	0	2	3	0	1
3	5	4.5	3.75	1.85	0	2	-2	0	3	3
3	2	8	4.75	1.45	0	1	-1	0	1	3
3	4	2.63	3.1	3.1	0	0	0	1	1	2
1	4	1.91	3.5	4.75	0	0	0	2	0	1
1	0	1.65	4.2	5.5	1	0	1	3	0	1
3	1	4.33	3.5	1.95	0	0	0	0	0	2
1	2	2.45	3.2	3.3	1	0	1	2	0	1
4	0	1.44	4.75	8.5	0	0	0	2	2	2
7	1	1.62	4.2	6	0	1	-1	1	3	3
7	2	2.15	3.4	3.8	1	0	1	1	0	1
3	3	1.73	3.8	5.5	1	0	1	1	0	1
3	2	2.7	3.4	2.8	0	3	-3	0	3	3
2	3	2.25	3.3	3.6	1	0	1	1	1	2
9	0	1.5	4.33	8	0	0	0	1	0	1
3	1	3.8	3.5	2.1	0	2	-2	0	2	3
3	10	2.15	3.3	3.9	0	0	0	1	1	2
5	1	2.05	3.4	4.1	0	1	-1	1	3	3
4	1	1.44	4.75	8	3	0	3	5	1	1
4	1	2.25	3.3	3.6	1	1	0	1	2	3
8	1	1.53	4.2	7.5	0	1	-1	0	1	3
2	1	2.38	3.4	3.25	0	0	0	2	2	2
0	5	5.25	3.75	1.75	1	1	0	2	1	1
1	1	3.2	3.25	2.5	0	0	0	0	1	3
6	1	1.75	4	5	0	1	-1	2	1	1
0	2	4.75	3.6	1.85	0	2	-2	0	6	3
4	1	2.1	3.75	3.6	0	0	0	1	2	3
1	3	1.5	4.33	6	0	0	0	1	0	1
6	5	2.8	3.25	2.5	1	0	1	1	2	3
6	0	1.62	3.75	5.5	0	0	0	2	1	1
4	2	2.38	3.25	3	0	0	0	0	0	2
1	2	2.6	3.1	2.8	3	0	3	3	2	1
4	4	1.8	3.5	4.5	1	0	1	1	0	1
2	3	1.4	4.2	9	0	1	-1	2	1	1
0	2	3	3.25	2.38	2	1	1	3	2	1
3	1	4.5	3.6	1.91	0	2	-2	1	3	3
7	0	2.9	3.25	2.7	1	0	1	2	0	1
5	0	1.73	3.8	5.5	2	1	1	2	2	2
0	2	5.25	4	1.7	0	2	-2	1	2	3
2	2	2.5	3.3	3.1	1	0	1	2	2	2
2	2	1.36	5.25	10	1	1	0	1	2	3
1	1	2.63	3.4	2.88	2	0	2	3	0	1
3	3	1.67	3.8	6	0	0	0	1	0	1
0	0	2	3.5	4.2	0	0	0	1	0	1
5	0	4	3.6	2	1	0	1	1	0	1
3	2	1.5	4.5	7.5	1	0	1	1	1	2
5	1	1.73	4	5	1	0	1	2	3	3
7	1	1.22	7	15	0	0	0	4	0	1
3	2	2.63	3.4	2.88	0	1	-1	1	3	3
5	2	1.6	4	6.5	0	0	0	1	1	2
0	0	2.05	3.5	4	0	0	0	1	0	1
3	1	2.38	3.4	3.25	0	1	-1	2	2	2
1	4	3	3.4	2.55	0	0	0	0	1	3
3	4	3.8	3.5	2.1	0	0	0	1	2	3
3	2	4.33	3.4	2	0	0	0	1	0	1
0	0	1.95	3.5	4.33	1	1	0	3	2	1
2	3	6	4.2	1.6	0	0	0	0	0	2
0	2	2.7	3.2	2.9	0	2	-2	1	2	3
3	3	7.5	4.5	1.5	0	1	-1	0	2	3
3	1	1.57	4.33	6.25	1	0	1	1	0	1
4	5	1.75	3.8	5.25	1	1	0	2	2	2
1	2	3	3.4	2.5	0	1	-1	0	1	3
4	2	2.7	3.5	2.7	0	2	-2	0	2	3
4	2	1.67	3.8	6	0	0	0	1	0	1
5	0	2.4	3.25	3.3	0	1	-1	1	2	3
2	2	2.25	3.3	3.6	0	0	0	0	1	3
5	2	1.83	3.75	4.75	0	1	-1	0	1	3
0	3	2.1	3.5	3.8	0	1	-1	1	1	2
2	4	2.63	3.4	2.88	0	2	-2	3	2	1
4	1	1.53	4.33	7	2	0	2	3	0	1
6	0	1.36	5.25	10	2	0	2	4	0	1
2	2	6.5	4.33	1.57	0	2	-2	0	4	3
1	3	3.75	3.6	2.1	0	3	-3	0	4	3
6	2	2.5	3.4	3	0	0	0	1	1	2
2	0	2.2	3.4	3.6	1	0	1	3	2	1
3	3	2.2	3.4	3.6	1	0	1	2	2	2
0	0	2.1	3.3	4	0	0	0	0	0	2
3	2	1.95	3.6	4.2	2	1	1	2	2	2
4	6	2.25	3.4	3.5	1	0	1	1	0	1
4	1	2.1	3.5	3.75	0	0	0	1	0	1
0	3	3.4	3.2	2.2	0	1	-1	1	2	3
6	2	2.05	3.4	3.6	0	0	0	1	0	1
7	4	1.33	5	9	1	1	0	2	1	1
6	0	1.53	4	6	2	0	2	3	1	1
1	3	3.75	3.4	2	1	0	1	1	0	1
4	3	3.4	3.3	2.15	1	1	0	1	1	2
4	2	3.6	3.5	2	2	2	0	3	3	2
2	1	1.55	4	5.75	2	1	1	4	1	1
0	5	3.4	3.4	2.1	0	0	0	0	2	3
1	3	1.91	3.5	4	0	0	0	3	0	1
5	2	2.9	3.4	2.6	0	0	0	0	0	2
8	3	2.75	3.4	2.7	0	1	-1	0	3	3
2	5	2.7	3.4	2.8	0	0	0	1	1	2
9	0	1.22	7	17	1	0	1	1	0	1
2	3	2.3	3.4	3.4	1	0	1	3	0	1
6	0	2.4	3.3	3.25	0	1	-1	0	3	3
4	1	2.4	3.2	3.4	0	1	-1	0	1	3
6	2	1.33	5.75	9.5	1	0	1	1	1	2
2	1	3.6	3.5	2.15	0	2	-2	1	2	3
0	1	1.95	3.6	4.2	1	0	1	2	2	2
4	2	4.5	3.75	1.85	0	1	-1	0	4	3
2	0	6	4.5	1.57	1	1	0	1	1	2
5	1	1.73	4	5	2	0	2	4	0	1
3	2	1.53	4.33	7	1	0	1	2	0	1
1	0	1.57	4.33	6.5	2	0	2	3	1	1
0	4	1.29	6	13	2	0	2	2	0	1
3	5	7.5	4.2	1.53	1	2	-1	2	4	3
5	1	3.1	3.5	2.4	1	2	-1	1	4	3
1	3	1.57	4.5	6	2	0	2	2	2	2
4	2	1.3	6	11	2	0	2	4	0	1
2	5	1.75	3.7	5.5	2	0	2	4	0	1
2	5	4.5	4	1.8	0	0	0	0	0	2
6	2	1.22	7	15	1	0	1	1	1	2
3	0	1.29	6.5	11	0	0	0	1	0	1
2	2	2	3.8	3.8	1	1	0	2	1	1
1	4	2	3.6	4	0	0	0	1	0	1
2	3	2.75	3.3	2.8	0	0	0	1	1	2
4	1	1.7	3.8	5.75	1	1	0	3	2	1
3	3	4	3.4	2.1	0	2	-2	0	3	3
4	2	2.1	3.4	3.9	1	1	0	1	1	2
5	2	2.8	3.4	2.7	2	1	1	4	2	1
3	2	3.1	3.5	2.4	2	0	2	3	1	1
4	1	2.75	3.6	2.63	0	2	-2	2	2	2
0	1	5.75	4.2	1.65	0	0	0	0	0	2
2	3	1.95	3.6	4.2	0	1	-1	1	1	2
2	1	2.05	3.5	3.9	0	1	-1	2	1	1
3	1	1.91	4	4	2	0	2	3	1	1
1	3	4.5	3.6	1.91	0	0	0	0	1	3
0	2	3	3.5	2.45	1	2	-1	3	2	1
7	0	1.44	4.75	8	0	2	-2	1	4	3
6	4	1.5	4.5	7.5	1	0	1	2	0	1
5	1	2.5	3.6	2.9	1	1	0	2	2	2
4	2	2.05	3.6	3.9	1	1	0	1	2	3
4	1	3	3.5	2.45	1	0	1	3	2	1
3	1	2	3.8	3.8	0	1	-1	1	1	2
4	1	1.83	3.75	4.75	3	1	2	4	2	1
2	0	1.75	4	5	2	0	2	3	0	1
3	1	1.17	9	17	1	0	1	4	0	1
3	3	2.3	3.75	3.1	0	0	0	1	1	2
3	5	1.8	4	4.5	2	0	2	3	0	1
1	2	4.5	4	1.8	2	0	2	5	1	1
0	2	1.36	5.5	9	1	0	1	4	1	1
1	4	3.5	3.6	2.15	0	1	-1	2	1	1
3	1	6	4.75	1.53	1	1	0	1	1	2
2	4	2.05	3.75	3.7	0	1	-1	2	2	2
0	2	2.4	3.6	3	1	1	0	1	1	2
3	0	1.67	4.2	5.25	1	0	1	3	1	1
